Yr,Conf,Team,W,L,GP,SecO_W,SecO_Diff,SnP_val,SnP_pct,SnP_rnk,SnPO_val,SnPO_rnk,SnPD_val,SnPD_rnk,SnPS_val,SnPS_rnk,SoS,SoS_rnk
2018,C-USA,Louisiana Tech,8,5,13,7.1,-0.9,-6.9,26.9,94,22,111,27,56,-1.8,116,0.925,74
2018,Sun Belt,UL-Lafayette,7,7,14,7,0,-6.9,26.8,95,30.5,53,38.9,116,1.5,15,0.889,40
2018,C-USA,Florida International,9,4,13,7.4,-1.6,-7.4,25.6,96,26.7,86,34.7,105,0.6,46,0.971,123
2018,Big Ten,Illinois,4,8,12,3.9,-0.1,-7.9,24.3,97,29.1,70,38.6,115,1.5,13,0.909,60
2018,ACC,Louisville,2,10,12,1.7,-0.3,-9.1,21.8,98,24.5,102,33.6,99,0,70,0.844,16
2018,MWC,New Mexico,3,9,12,4,1,-9.5,20.8,99,23.8,107,35.7,109,2.4,4,0.917,66
2018,Big 12,Kansas,3,9,12,2.8,-0.2,-10,19.9,100,21.9,114,31.9,94,0,71,0.89,43
2018,AAC,Navy,3,10,13,3.4,0.4,-10.2,19.4,101,27.5,82,38.3,114,0.6,48,0.921,70
2018,MWC,Colorado State,3,9,12,3.6,0.6,-10.3,19.2,102,27.6,81,36.7,110,-1.2,104,0.918,68
2018,MWC,Hawaii,8,6,14,7.2,-0.8,-10.4,19.1,103,29.5,63,39.5,118,-0.4,81,0.941,89
2018,MAC,Western Michigan,7,6,13,6.4,-0.6,-10.7,18.4,104,29.8,60,37.4,112,-3.1,130,0.944,92
2018,Sun Belt,UL-Monroe,6,6,12,5.4,-0.6,-10.9,18.1,105,26.5,87,35.4,108,-2,119,0.946,96
2018,MWC,UNLV,4,8,12,4.1,0.1,-11.1,17.6,106,30.7,51,38.9,117,-2.9,128,0.934,84
2018,AAC,Tulsa,3,9,12,4.4,1.4,-11.2,17.5,107,22.9,109,32.3,96,-1.7,113,0.949,99
2018,Big Ten,Rutgers,1,11,12,1.8,0.8,-12.3,15.5,108,15,123,28.5,67,1.2,23,0.869,31
2018,C-USA,Old Dominion,4,8,12,4.1,0.1,-14.1,12.5,109,24.9,98,39.7,119,0.7,41,0.977,129
2018,AAC,East Carolina,3,9,12,3.8,0.8,-14.9,11.3,110,18.3,119,34.2,101,1,33,0.936,85
2018,Pac-12,Oregon State,2,10,12,1.8,-0.2,-16,9.9,111,28.8,73,43.4,126,-1.3,107,0.875,32
2018,Ind,Massachusetts,4,8,12,4,0,-16.1,9.7,112,27.8,79,42.2,124,-1.7,112,0.926,76
